"go_description","NES","pval","padj"
"vasoconstriction",1.81951369460689,0.000209762881520144,0.00173773464055316
"cardiac muscle cell action potential involved in contraction",1.9005554497724,0.00021756065794406,0.00179632583242479
"heterochromatin organization",-1.69241802762445,0.000219895278742808,0.00180957011776058
"mRNA cis splicing, via spliceosome",-2.04377314950221,0.000224032377160829,0.00183751059015687
"mitotic sister chromatid cohesion",-2.07065574646972,0.000233706384817416,0.00191053041317736
"relaxation of muscle",2.02103732821338,0.000244564266969099,0.00199271608316598
"positive regulation of double-strand break repair via homologous recombination",-2.01193366595903,0.000247762011933683,0.00201215247068765
"calcineurin-mediated signaling",1.91831926036042,0.000255526041486251,0.00206168731192653
"positive regulation of cell cycle G1/S phase transition",-1.8799741107749,0.000254714598461646,0.00206168731192653
"clathrin-dependent endocytosis",1.86292419639544,0.000257270246547591,0.00206902078148825
"ATP synthesis coupled electron transport",1.79665980007558,0.000260831080409841,0.0020908692109229
"neurotrophin signaling pathway",1.92637989247071,0.000271914875163601,0.00217268756703303
"protein localization to Golgi apparatus",1.95718924074335,0.000274109753594342,0.00217793407171591
"blastocyst development",-1.73327618986694,0.000274330008225823,0.00217793407171591
"nucleus organization",-1.73522923544629,0.000276532162139979,0.00218840308505025
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",-1.96638154128898,0.000290399831102972,0.00229082924089828
"regulation of action potential",1.87318703417577,0.000291571970087425,0.00229277387271921
"sodium ion transport",1.64916766061267,0.000295876887407139,0.00231926281679583
"vascular process in circulatory system",1.59267934678607,0.000309284832601619,0.00241671460679561
"retrograde transport, endosome to Golgi",1.71078694621927,0.00031553480667269,0.00245779784945992
"regulation of cell cycle G1/S phase transition",-1.59937039067836,0.000330079060469443,0.00256302768897433
"regulation of protein localization to plasma membrane",1.71535251905084,0.00036383419790302,0.00281630408814306
"cell communication by electrical coupling",1.97034402576354,0.000386163372503566,0.00297983387442783
